"Classification","Precision","Recall","F1.score","Accuracy"
"Hateful",0.340909090909091,0.422535211267606,0.377358490566038,0.75
"Not offensive",0.955479452054795,0.850609756097561,0.9,0.75
"Offensive, not hateful",0.640909090909091,0.701492537313433,0.669833729216152,0.75
"Overall",0.645765877957659,0.658212501559533,0.64906407326073,0.75
